lines,tokens,occurrences
4,46,4,321,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java,363,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java,72,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MusicPlayController.java,89,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/PhotoViewController.java
10,46,2,140,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/PhotoViewController.java,58,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/sms/SmsReceiverController.java
7,45,2,132,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/AlbumController.java,220,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java
6,45,5,136,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java,155,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java,179,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java,211,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java,299,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java
6,44,6,104,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/AlbumController.java,133,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/AlbumController.java,129,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java,221,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java,88,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MusicPlayController.java,125,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/PhotoViewController.java
7,44,2,105,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/BaseController.java,140,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/PhotoViewController.java
12,44,2,99,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MusicPlayController.java,61,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/sms/SmsReceiverController.java
7,43,2,105,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/BaseController.java,58,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/sms/SmsReceiverController.java
6,43,2,326,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java,74,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/sms/SmsSenderController.java
9,43,3,52,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MusicPlayController.java,136,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/PhotoViewController.java,52,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/sms/SmsReceiverController.java
9,43,2,99,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MusicPlayController.java,142,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/PhotoViewController.java
10,42,2,33,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/AlbumController.java,66,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java
7,42,2,149,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/AlbumController.java,51,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/BaseController.java
7,41,3,213,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java,248,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MediaController.java,78,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MusicPlayController.java
5,40,7,107,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/BaseController.java,52,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MusicPlayController.java,99,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/MusicPlayController.java,136,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/PhotoViewController.java,142,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/core/ui/controller/PhotoViewController.java,52,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/sms/SmsReceiverController.java,61,/home/julioserafim/Documents/Linhas-de-Produto/MobilePhoto OOP-7/src/ubc/midp/mobilephoto/sms/SmsReceiverController.java
